Ref,Day,Date,Time,Topic,Outcome (Includes Industry Example),Skillset ( with hyperlink Job Profile),Case Ref,Break,Cum Time
,Start,21 Apr 18,min,,,,,,
,,,,D1: Session-1,,,,,0
1A,1,21 Apr 18,20,Introduction - Facutly & Students,Understanding Student Expectations for the Course,,,,20
,,,,,,,,,20
1B,,,20,Course Conduct,Course Conduct & Topic Introduction,,,,40
,,,,,,,,10,50
1C,,,50,Introductory Topics to Analytics,Understanding the need for Analytics in Financial Domain; CRIPS Modeling,Analytical Techniques,,,100
,,,,,,,,10,110
1D,,,50,Introduction to Data Management,"Properties & Types of Data, Measurement Scale, Basic Statistics on Data",,,,160
,,,,,,,,,160
1E,,,30,Basic Excel Functions,"Vlookup, Pivot Table, Statistical Functions",Excel Management,Case : Denco,,190
,,,,,,,,10,200
,,,,D1: Session-2,,,,,200
1F,1,21 Apr 18,30,Basics of R Programming,"Need for R, Features of R, Download, Setup, Installation ; R & R Studio; Configuration. eg. Learning to setup R and share the setup with your colleages",,,,230
,,,,,,,,,230
1G,,,30,Project Management in R,Files & Project Management in R ; Git Hub Configuration. eg Managing Files in Internet Domain ; Extracting Data from various sources,Project Management ,,,260
,,,,,,,,10,270
1H,,,90,Data Structures in R,"Creating and Understanding Basic Data Structures in R - Vector, List, Matrix, Array, Data Frame & Factors which help in creating data in R programming",Data Creation ,,,360
,,,,,,,,10,370
1I,,,60,Data Manipulation & Summarisation in R,Understanding how data can be summarised in different ways to do Descriptive Analysis which describes features of data,Descriptive Analysis,Case Study : Denco,,430
,,,,,,,,,430
1J,,,15,HW Assignment,Assignment for Home : Practise,Financial analysis and Reporting,Case Study : student,,445
1K,,,10,Summarisation,Summarising Day1's topics,,,,455
,,,,,,,,,
,,,,D2: Session-1,,,,,0
2A,2,22 Apr 18,35,Recap & Discussion of HW Assignment,Finding Insights and carrying out Descriptive Statistics,Insights,,,35
,,,,,,,,,35
2B,,,25,Analytical Modeling,Understand what is Modeling and how it can be used in Financial Domain,Financial Modeling,,,60
,,,,,,,,10,70
2C,,,90,Simple Linear Regression ,Develop a Prediction Model for predicting a financial values based on single Independent Variable; Understand the assumptions and measures of goodness of Model,Predictive Analysis,Case : AreaVsSales,,160
,,,,,,,,10,170
2D,,,60,Multiple Linear Regression,Develop a Prediction Model for Predicting a Financial Value/ Quantity on more than 1 independent Variables; Understand its prediction ability,Predictive Analysis on various Factors,Case : Qty-Price & Promotion,,230
,,,,,,,,,230
,,,,D2: Session-2,,,,,230
2E,2,22 Apr 18,50,Visualisation using Graphs,Creating Graph in R and understanding which graph to be used when,Visualisation ,,,280
,,,,,,,,10,290
2B,,,90,Logistic Regression,"Predicting Binary Outcome (Buy or not, Churn or not, Loan Default or not) based on Independent Variables eg. Predicting Cases for Fraud, Default on Payment etc",Risk Analytics,Case : Default on Loan,,380
,,,,,,,,10,390
2D,,,15,HW Assignment,Discussion on Assignment Submission,,Case : Qty-Price & Promotion,,405
,,,,,,,,10,415
2E,,,30,Missing Value and Outlier Analysis,Understanding how missing values & outliers are handled in data summarisation & modeling,Data Handling ,,,420
,,,,,,,,,
2E,,,30,Summarisation and Discussion,"Practise Exercise, Summarisation and Doubts clearance, Next Days Topics",,,,445
,,,,,,,,,
,,,,D3: Session-1,,,,,0
3A,3,23 Apr 18,90,Decision Tree - CART,Need for Decision Tree Modeling; How to create Classification and Regression Tree ; Interpreting the output; Pruning the tree  based on Complexity Paramter ; Selecting the most important attribute,Decision Tree,Case : SalesVsIVs,,90
,,,,,,,,,90
3B,,,25,Decision Tree - CHAID,When to use CHAID to create decision tree based on categorical variables. ,Decision Tree,Case : Built in Dataset,,115
,,,,,,,,10,125
3C,,,90,Clustering,Grouping Customers based on characteristics so that they can be target for sale increase,Segmentation,Case : AreaVsSales,,215
,,,,,,,,10,225
,,,,,,,,,225
,,,,D3: Session-2,,,,,225
3D,3,23 Apr 18,90,Association Rule Analysis,"Understand how Association Rules can be created using Market Basket Analysis. Same concept can be applied to find association between subscription to features of financial institutions. eg  Saving Account, FD, Mutual Fund, Insurance Schemes taken customers",Association Rule Analysis,Case: Groceries,,315
,,,,,,Market Basket Analysis,,10,325
3E,,,90,Date Functions,Understand how Date Functions are used to understand Time Series data,,Practise/ Lab Work,,415
,,,,,,,,10,425
3F,,,30,Summarisation and Discussion,"Practise Exercise, Summarisation and Doubts clearance, Next Days Topics",,,,455
,,,,,,,,,
,,,,D4: Session-1,,,,,0
4A,4,24 Apr 18,180,Time Series Analysis,"Create, Analyse, Plot Time Series Data. Carryout  Moving Average, Exponential and ARIMA forecasting to predict Values",Time Series Analysis & Forecasting of Financial Data,Case : Built in Data Sets,,180
,,,,,Smoothing & Seasonal Decomposition,,Data : AirPassengers,,180
,,,,,Exponential Forecasting,,Data : Johnsons & Johnsons,,180
,,,,,ARIMA Forecasting,,Data : Nile,,180
,,,,,,,,,180
,,,,D4: Session-2,,,,,180
4B,4,24 Apr 18,90,Twitter Analysis,Configure Twitter Account & Application; Setup for downloading tweets and analyse them for positive and negative sentiments related to Financial News/ Articles,Find Trends/ Views,Case : Online Tweets,,270
,,,,,,Analysis,,10,280
4C,,,60,Summarisation and Discussion,"Practise Exercise, Summarisation and Doubts clearance, What to do further after this course",,Lab Work,,340
,,,,,,,,10,350
4D,,,80,"Exam & Group Photo , Feedback",Conduct assessment; Group Photos and Feedback Session,,,,430